Environment,Container_type,Percentage,Day,Run_code
None,None,0,0,movimm
Both,big,25,1,1cont025
Both,big,25,50,50cont025
Both,big,25,100,100cont025
Both,big,25,250,cont025
Both,big,50,1,1cont05
Both,big,50,50,50cont05
Both,big,50,100,100cont05
Both,big,50,250,cont05
Both,big,75,1,1cont075
Both,big,75,50,50cont075
Both,big,75,100,100cont075
Both,big,75,250,cont075
Both,big,100,1,cont1
Both,big,100,50,cont50
Both,big,100,100,cont100
Both,big,100,175,cont175
Both,big,100,250,cont
Both,small,25,1,1scont025
Both,small,25,50,50scont025
Both,small,25,100,100scont025
Both,small,25,250,scont025
Both,small,50,1,1scont05
Both,small,50,50,50scont05
Both,small,50,100,100scont05
Both,small,50,250,scont05
Both,small,75,1,1scont075
Both,small,75,50,50scont075
Both,small,75,100,100scont075
Both,small,75,250,scont075
Both,small,100,1,scont1
Both,small,100,50,scont50
Both,small,100,100,scont100
Both,small,100,175,scont175
Both,small,100,250,scont
Both,both,25,1,1bcont025
Both,both,25,50,50bcont025
Both,both,25,100,100bcont025
Both,both,25,250,bcont025
Both,both,50,1,1bcont05
Both,both,50,50,50bcont05
Both,both,50,100,100bcont05
Both,both,50,250,bcont05
Both,both,75,1,1bcont075
Both,both,75,50,50bcont075
Both,both,75,100,100bcont075
Both,both,75,250,bcont075
Both,both,100,1,bcont1
Both,both,100,50,bcont50
Both,both,100,100,bcont100
Both,both,100,175,bcont175
Both,both,100,250,bcont
Household,big,25,1,1HHl025
Household,big,25,50,50HHl025
Household,big,25,100,100HHl025
Household,big,25,250,250HHl025
Household,big,50,1,1HHl05
Household,big,50,50,50HHl05
Household,big,50,100,100HHl05
Household,big,50,250,250HHl05
Household,big,75,1,1HHl075
Household,big,75,50,50HHl075
Household,big,75,100,100HHl075
Household,big,75,250,250HHl075
Household,big,100,1,1HHl
Household,big,100,50,50HHl
Household,big,100,100,100HHl
Household,big,100,250,250HHl
Household,small,25,1,1HHs025
Household,small,25,50,50HHs025
Household,small,25,100,100HHs025
Household,small,25,250,250HHs025
Household,small,50,1,1HHs05
Household,small,50,50,50HHs05
Household,small,50,100,100HHs05
Household,small,50,250,250HHs05
Household,small,75,1,1HHs075
Household,small,75,50,50HHs075
Household,small,75,100,100HHs075
Household,small,75,250,250HHs075
Household,small,100,1,1HHs
Household,small,100,50,50HHs
Household,small,100,100,100HHs
Household,small,100,250,250HHs
Household,both,25,1,1HHb025
Household,both,25,50,50HHb025
Household,both,25,100,100HHb025
Household,both,25,250,250HHb025
Household,both,50,1,1HHb05
Household,both,50,50,50HHb05
Household,both,50,100,100HHb05
Household,both,50,250,250HHb05
Household,both,75,1,1HHb075
Household,both,75,50,50HHb075
Household,both,75,100,100HHb075
Household,both,75,250,250HHb075
Household,both,100,1,1HHb
Household,both,100,50,50HHb
Household,both,100,100,100HHb
Household,both,100,250,250HHb
Non-Household,big,25,1,1NHl025
Non-Household,big,25,50,50NHl025
Non-Household,big,25,100,100NHl025
Non-Household,big,25,250,250NHl025
Non-Household,big,50,1,1NHl05
Non-Household,big,50,50,50NHl05
Non-Household,big,50,100,100NHl05
Non-Household,big,50,250,250NHl05
Non-Household,big,75,1,1NHl075
Non-Household,big,75,50,50NHl075
Non-Household,big,75,100,100NHl075
Non-Household,big,75,250,250NHl075
Non-Household,big,100,1,1NHl
Non-Household,big,100,50,50NHl
Non-Household,big,100,100,100NHl
Non-Household,big,100,250,250NHl
Non-Household,small,25,1,1NHs025
Non-Household,small,25,50,50NHs025
Non-Household,small,25,100,100NHs025
Non-Household,small,25,250,250NHs025
Non-Household,small,50,1,1NHs05
Non-Household,small,50,50,50NHs05
Non-Household,small,50,100,100NHs05
Non-Household,small,50,250,250NHs05
Non-Household,small,75,1,1NHs075
Non-Household,small,75,50,50NHs075
Non-Household,small,75,100,100NHs075
Non-Household,small,75,250,250NHs075
Non-Household,small,100,1,1NHs
Non-Household,small,100,50,50NHs
Non-Household,small,100,100,100NHs
Non-Household,small,100,250,250NHs
Non-Household,both,25,1,1NHb025
Non-Household,both,25,50,50NHb025
Non-Household,both,25,100,100NHb025
Non-Household,both,25,250,250NHb025
Non-Household,both,50,1,1NHb05
Non-Household,both,50,50,50NHb05
Non-Household,both,50,100,100NHb05
Non-Household,both,50,250,250NHb05
Non-Household,both,75,1,1NHb075
Non-Household,both,75,50,50NHb075
Non-Household,both,75,100,100NHb075
Non-Household,both,75,250,250NHb075
Non-Household,both,100,1,1NHb
Non-Household,both,100,50,50NHb
Non-Household,both,100,100,100NHb
Non-Household,both,100,250,NH1