City,Environment,Container,Percentage,Day,Cases,caseslow95,casesup95,Household,HH_low95,HH_up95,Non_Household,NH_low95,NH_up95,pweeks_cases,pwk_low95,pwk_up95,weeks_cases,wk_low95,wk_up95,pweeks_HHcases,pwk_HHlow95,pwk_HHup95,weeks_HHcases,wk_HHlow95,wk_HHup95,pweeks_NHcases,pwk_NHlow95,pwk_NHup95,weeks_NHcases,wk_NHlow95,wk_NHup95
Ukunda,Both,both,25,100,2.654e3,1.635e3,3.91e3,1.188e3,688.5,1.819e3,1.403e3,798.0,2.166e3,0.9333333333333333,0.819047619047619,1.0,98.0,86.0,105.0,0.8761904761904762,0.7714285714285715,1.0,92.0,81.0,105.0,0.8761904761904762,0.7619047619047619,0.9904761904761905,92.0,80.0,104.0
Kisumu,Both,both,25,250,622.5,341.8,1.114e3,256.5,125.75,478.5,334.0,170.0,643.0,0.6761904761904762,0.42857142857142855,0.8952380952380953,71.0,45.0,94.0,0.638095238095238,0.37142857142857144,0.8476190476190476,67.0,39.0,89.0,0.6285714285714286,0.37142857142857144,0.8476190476190476,66.0,39.0,89.0
Ukunda,Both,both,25,250,3.176e3,2.112e3,4.47e3,1.408e3,878.0,2.045e3,1.703e3,1.086e3,2.486e3,0.9238095238095239,0.8285714285714286,1.0,97.0,87.0,105.0,0.8571428571428571,0.780952380952381,0.9809523809523809,90.0,82.0,103.0,0.8571428571428571,0.7714285714285715,0.9904761904761905,90.0,81.0,104.0
Kisumu,Both,both,50,1,201.5,126.5,308.2,78.0,44.0,135.2,105.0,56.0,179.2,0.2761904761904762,0.20952380952380953,0.3904761904761905,29.0,22.0,41.0,0.21904761904761905,0.1619047619047619,0.3333333333333333,23.0,17.0,35.0,0.23809523809523808,0.1619047619047619,0.3238095238095238,25.0,17.0,34.0
Ukunda,Both,both,50,1,433.5,200.0,982.5,207.5,85.0,478.5,191.5,70.0,498.5,0.5142857142857142,0.3333333333333333,0.7904761904761904,54.0,35.0,83.0,0.4380952380952381,0.2761904761904762,0.7428571428571429,46.0,29.0,78.0,0.41904761904761906,0.22857142857142856,0.7238095238095238,44.0,24.0,76.0
Kisumu,Both,both,50,50,331.0,222.0,483.5,139.0,83.75,217.2,177.5,106.0,278.0,0.34285714285714286,0.26666666666666666,0.45714285714285713,36.0,28.0,48.0,0.3047619047619048,0.22857142857142856,0.4,32.0,24.0,42.0,0.29523809523809524,0.22857142857142856,0.3904761904761905,31.0,24.0,41.0
Ukunda,Both,both,50,50,933.0,515.0,1.596e3,426.0,220.0,776.0,450.0,223.2,845.0,0.6476190476190476,0.45714285714285713,0.8285714285714286,68.0,48.0,87.0,0.6190476190476191,0.41904761904761906,0.7904761904761904,65.0,44.0,83.0,0.5619047619047619,0.38095238095238093,0.7619047619047619,59.0,40.0,80.0
Kisumu,Both,both,50,100,436.5,291.8,623.0,177.5,105.0,272.2,237.0,138.0,365.8,0.4095238095238095,0.3238095238095238,0.5142857142857142,43.0,34.0,54.0,0.34285714285714286,0.26666666666666666,0.44761904761904764,36.0,28.0,47.0,0.3619047619047619,0.2857142857142857,0.4666666666666667,38.0,30.0,49.0
Ukunda,Both,both,50,100,1.444e3,842.0,2.19e3,651.5,363.5,1.045e3,723.0,398.5,1.176e3,0.7142857142857143,0.5714285714285714,0.8571428571428571,75.0,60.0,90.0,0.6666666666666666,0.5047619047619047,0.8095238095238095,70.0,53.0,85.0,0.6666666666666666,0.49523809523809526,0.7904761904761904,70.0,52.0,83.0
Kisumu,Both,both,50,250,559.0,339.8,877.0,232.0,125.75,381.8,298.5,163.0,507.0,0.5428571428571428,0.41904761904761906,0.7142857142857143,57.0,44.0,75.0,0.49523809523809526,0.37142857142857144,0.6476190476190476,52.0,39.0,68.0,0.49523809523809526,0.3619047619047619,0.6476190476190476,52.0,38.0,68.0
Ukunda,Both,both,50,250,2.546e3,1.709e3,3.518e3,1.146e3,726.0,1.634e3,1.337e3,846.0,1.917e3,0.7714285714285715,0.6952380952380952,0.8571428571428571,81.0,73.0,90.0,0.7333333333333333,0.6476190476190476,0.819047619047619,77.0,68.0,86.0,0.7142857142857143,0.6476190476190476,0.819047619047619,75.0,68.0,86.0
Kisumu,Both,both,75,1,126.0,83.0,185.0,48.0,28.0,81.0,69.0,40.0,111.5,0.19047619047619047,0.1523809523809524,0.24761904761904763,20.0,16.0,26.0,0.1523809523809524,0.11428571428571428,0.21904761904761905,16.0,12.0,23.0,0.1619047619047619,0.11428571428571428,0.21904761904761905,17.0,12.0,23.0
Ukunda,Both,both,75,1,141.5,77.0,247.0,72.0,37.0,131.5,54.0,20.0,122.25,0.21904761904761905,0.14285714285714285,0.3047619047619048,23.0,15.0,32.0,0.19047619047619047,0.11428571428571428,0.2857142857142857,20.0,12.0,30.0,0.1523809523809524,0.09523809523809523,0.23809523809523808,16.0,10.0,25.0
Kisumu,Both,both,75,50,286.5,198.0,393.0,118.5,77.0,175.2,156.0,95.5,233.5,0.2761904761904762,0.21904761904761905,0.3333333333333333,29.0,23.0,35.0,0.22857142857142856,0.19047619047619047,0.29523809523809524,24.0,20.0,31.0,0.24761904761904763,0.19047619047619047,0.3047619047619048,26.0,20.0,32.0
Ukunda,Both,both,75,50,466.5,286.0,709.5,213.5,120.0,350.5,229.5,121.75,372.0,0.3333333333333333,0.2761904761904762,0.41904761904761906,35.0,29.0,44.0,0.3047619047619048,0.23809523809523808,0.3904761904761905,32.0,25.0,41.0,0.2761904761904762,0.22857142857142856,0.3523809523809524,29.0,24.0,37.0
Kisumu,Both,both,75,100,385.0,258.0,544.0,164.0,97.0,241.2,212.0,124.0,325.5,0.3238095238095238,0.2761904761904762,0.4095238095238095,34.0,29.0,43.0,0.29523809523809524,0.23809523809523808,0.3619047619047619,31.0,25.0,38.0,0.29523809523809524,0.23809523809523808,0.3619047619047619,31.0,25.0,38.0
Ukunda,Both,both,75,100,959.0,571.5,1.428e3,433.0,250.8,677.0,492.5,268.0,765.0,0.4380952380952381,0.38095238095238093,0.5238095238095238,46.0,40.0,55.0,0.4095238095238095,0.3523809523809524,0.49523809523809526,43.0,37.0,52.0,0.38095238095238093,0.3142857142857143,0.45714285714285713,40.0,33.0,48.0
Kisumu,Both,both,75,250,562.0,348.0,832.0,232.5,128.0,365.5,302.5,171.8,491.0,0.49523809523809526,0.4095238095238095,0.5714285714285714,52.0,43.0,60.0,0.4666666666666667,0.34285714285714286,0.5142857142857142,49.0,36.0,54.0,0.44761904761904764,0.3523809523809524,0.5333333333333333,47.0,37.0,56.0
Ukunda,Both,both,75,250,2.156e3,1.445e3,2.928e3,975.5,638.0,1.383e3,1.123e3,709.0,1.608e3,0.6190476190476191,0.5619047619047619,0.6761904761904762,65.0,59.0,71.0,0.5904761904761905,0.5238095238095238,0.6571428571428571,62.0,55.0,69.0,0.5619047619047619,0.5142857142857142,0.6285714285714286,59.0,54.0,66.0
Kisumu,Both,both,100,1,77.0,54.0,107.0,26.0,16.0,38.0,48.0,28.0,74.25,0.12380952380952381,0.10476190476190476,0.1523809523809524,13.0,11.0,16.0,0.08571428571428572,0.05714285714285714,0.10476190476190476,9.0,6.0,11.0,0.11428571428571428,0.09523809523809523,0.14285714285714285,12.0,10.0,15.0
Ukunda,Both,both,100,1,58.0,39.0,89.0,35.0,21.75,49.0,19.0,6.0,42.0,0.10476190476190476,0.08571428571428572,0.13333333333333333,11.0,9.0,14.0,0.0761904761904762,0.06666666666666667,0.10476190476190476,8.0,7.0,11.0,0.08571428571428572,0.05714285714285714,0.11428571428571428,9.0,6.0,12.0
Kisumu,Both,both,100,50,244.5,177.0,333.0,104.5,69.0,147.2,137.5,83.0,199.5,0.21904761904761905,0.19047619047619047,0.2571428571428571,23.0,20.0,27.0,0.19047619047619047,0.1619047619047619,0.21904761904761905,20.0,17.0,23.0,0.2,0.1619047619047619,0.22857142857142856,21.0,17.0,24.0
Ukunda,Both,both,100,50,326.0,222.2,453.2,147.0,94.0,214.8,166.0,102.75,257.0,0.22857142857142856,0.2,0.2571428571428571,24.0,21.0,27.0,0.2,0.17142857142857143,0.22857142857142856,21.0,18.0,24.0,0.2,0.17142857142857143,0.23809523809523808,21.0,18.0,25.0
Kisumu,Both,both,100,100,369.0,259.8,500.8,151.5,95.5,217.0,209.0,135.2,305.5,0.2857142857142857,0.2571428571428571,0.3142857142857143,30.0,27.0,33.0,0.2571428571428571,0.21904761904761905,0.2857142857142857,27.0,23.0,30.0,0.26666666666666666,0.23809523809523808,0.3047619047619048,28.0,25.0,32.0
Ukunda,Both,both,100,100,780.0,516.5,1.091e3,344.5,210.8,499.2,421.0,253.2,615.0,0.3238095238095238,0.29523809523809524,0.3523809523809524,34.0,31.0,37.0,0.29523809523809524,0.26666666666666666,0.3238095238095238,31.0,28.0,34.0,0.29523809523809524,0.26666666666666666,0.3333333333333333,31.0,28.0,35.0
Kisumu,Both,both,100,175,480.5,315.8,684.0,200.0,117.75,299.2,265.0,158.8,407.8,0.3619047619047619,0.3238095238095238,0.4095238095238095,38.0,34.0,43.0,0.3333333333333333,0.3047619047619048,0.37142857142857144,35.0,32.0,39.0,0.34285714285714286,0.3047619047619048,0.3904761904761905,36.0,32.0,41.0
Ukunda,Both,both,100,175,1.38e3,915.0,1.934e3,625.5,388.8,889.5,732.5,456.8,1.075e3,0.42857142857142855,0.4,0.45714285714285713,45.0,42.0,48.0,0.4,0.38095238095238093,0.42857142857142855,42.0,40.0,45.0,0.4,0.37142857142857144,0.42857142857142855,42.0,39.0,45.0
Kisumu,Both,both,100,250,521.5,331.8,762.5,220.0,123.75,339.2,288.0,165.8,447.0,0.44761904761904764,0.4,0.4857142857142857,47.0,42.0,51.0,0.41904761904761906,0.3523809523809524,0.45714285714285713,44.0,37.0,48.0,0.42857142857142855,0.3619047619047619,0.47619047619047616,45.0,38.0,50.0
Ukunda,Both,both,100,250,2.012e3,1.396e3,2.656e3,908.0,607.0,1.244e3,1.065e3,699.0,1.463e3,0.5142857142857142,0.49523809523809526,0.5523809523809524,54.0,52.0,58.0,0.49523809523809526,0.47619047619047616,0.5238095238095238,52.0,50.0,55.0,0.49523809523809526,0.4666666666666667,0.5238095238095238,52.0,49.0,55.0
Kisumu,Household,big,25,1,578.5,294.5,1.198e3,226.0,104.75,506.2,311.5,141.5,701.0,0.7619047619047619,0.4380952380952381,1.0,80.0,46.0,105.0,0.6761904761904762,0.3238095238095238,1.0,71.0,34.0,105.0,0.6761904761904762,0.3333333333333333,1.0,71.0,35.0,105.0
Ukunda,Household,big,25,1,3.552e3,2.298e3,5.044e3,1.499e3,916.0,2.2e3,1.992e3,1.227e3,2.92e3,1.0,0.8952380952380953,1.0,105.0,94.0,105.0,0.9523809523809523,0.8476190476190476,1.0,100.0,89.0,105.0,0.9714285714285714,0.8476190476190476,0.9904761904761905,102.0,89.0,104.0
Kisumu,Household,big,25,50,607.0,319.5,1.232e3,238.5,117.75,519.0,324.0,155.2,708.0,0.7714285714285715,0.42857142857142855,1.0,81.0,45.0,105.0,0.6952380952380952,0.34285714285714286,1.0,73.0,36.0,105.0,0.6761904761904762,0.34285714285714286,1.0,71.0,36.0,105.0
Ukunda,Household,big,25,50,3.574e3,2.352e3,4.97e3,1.494e3,935.5,2.184e3,2.006e3,1.257e3,2.88e3,1.0,0.8952380952380953,1.0,105.0,94.0,105.0,0.9333333333333333,0.8380952380952381,1.0,98.0,88.0,105.0,0.9714285714285714,0.8285714285714286,0.9904761904761905,102.0,87.0,104.0
Kisumu,Household,big,25,100,592.0,310.0,1.218e3,228.5,113.0,517.0,314.0,147.5,717.5,0.7428571428571429,0.4095238095238095,1.0,78.0,43.0,105.0,0.6666666666666666,0.3238095238095238,1.0,70.0,34.0,105.0,0.6761904761904762,0.3333333333333333,1.0,71.0,35.0,105.0
Ukunda,Household,big,25,100,3.6e3,2.286e3,5.144e3,1.51e3,915.0,2.25e3,2.012e3,1.222e3,2.956e3,1.0,0.8952380952380953,1.0,105.0,94.0,105.0,0.9523809523809523,0.8380952380952381,1.0,100.0,88.0,105.0,0.9809523809523809,0.8571428571428571,0.9904761904761905,103.0,90.0,104.0
Kisumu,Household,big,25,250,658.0,333.8,1.306e3,263.5,123.0,558.0,345.0,152.8,759.5,0.8285714285714286,0.4666666666666667,1.0,87.0,49.0,105.0,0.7333333333333333,0.3619047619047619,1.0,77.0,38.0,105.0,0.7428571428571429,0.3523809523809524,1.0,78.0,37.0,105.0
Ukunda,Household,big,25,250,3.634e3,2.382e3,5.11e3,1.56e3,964.5,2.274e3,2.01e3,1.266e3,2.924e3,1.0,0.8857142857142857,1.0,105.0,93.0,105.0,0.9428571428571428,0.8285714285714286,1.0,99.0,87.0,105.0,0.9619047619047619,0.8285714285714286,0.9904761904761905,101.0,87.0,104.0
Kisumu,Household,big,50,1,458.5,249.0,962.5,174.0,87.0,387.2,248.5,127.0,570.5,0.6190476190476191,0.37142857142857144,1.0,65.0,39.0,105.0,0.5047619047619047,0.2857142857142857,0.9428571428571428,53.0,30.0,99.0,0.5142857142857142,0.3047619047619048,1.0,54.0,32.0,105.0
Ukunda,Household,big,50,1,3.076e3,1.902e3,4.49e3,1.212e3,702.0,1.846e3,1.8e3,1.045e3,2.706e3,1.0,0.9047619047619048,1.0,105.0,95.0,105.0,0.9523809523809523,0.8380952380952381,1.0,100.0,88.0,105.0,0.9809523809523809,0.8380952380952381,0.9904761904761905,103.0,88.0,104.0
Kisumu,Household,big,50,50,532.0,296.8,1.08e3,206.5,105.0,445.2,285.0,142.8,640.0,0.6761904761904762,0.41904761904761906,1.0,71.0,44.0,105.0,0.580952380952381,0.3238095238095238,0.9809523809523809,61.0,34.0,103.0,0.638095238095238,0.34285714285714286,1.0,67.0,36.0,105.0
Ukunda,Household,big,50,50,3.174e3,2.001e3,4.496e3,1.262e3,755.0,1.879e3,1.83e3,1.105e3,2.692e3,0.9904761904761905,0.8952380952380953,1.0,104.0,94.0,105.0,0.9333333333333333,0.819047619047619,1.0,98.0,86.0,105.0,0.9714285714285714,0.8285714285714286,0.9904761904761905,102.0,87.0,104.0
Kisumu,Household,big,50,100,575.0,320.5,1.122e3,225.5,117.0,461.5,306.5,154.2,663.0,0.6952380952380952,0.42857142857142855,1.0,73.0,45.0,105.0,0.6285714285714286,0.3238095238095238,0.9523809523809523,66.0,34.0,100.0,0.638095238095238,0.34285714285714286,1.0,67.0,36.0,105.0
Ukunda,Household,big,50,100,3.204e3,2.042e3,4.588e3,1.294e3,779.0,1.928e3,1.844e3,1.112e3,2.74e3,0.9904761904761905,0.8857142857142857,1.0,104.0,93.0,105.0,0.9333333333333333,0.819047619047619,1.0,98.0,86.0,105.0,0.9428571428571428,0.8285714285714286,0.9904761904761905,99.0,87.0,104.0
Kisumu,Household,big,50,250,618.5,333.5,1.192e3,246.5,123.0,500.5,336.5,158.2,704.5,0.7523809523809524,0.45714285714285713,1.0,79.0,48.0,105.0,0.6857142857142857,0.3619047619047619,1.0,72.0,38.0,105.0,0.6761904761904762,0.37142857142857144,1.0,71.0,39.0,105.0
Ukunda,Household,big,50,250,3.476e3,2.266e3,4.828e3,1.437e3,894.0,2.096e3,1.964e3,1.218e3,2.824e3,0.9714285714285714,0.8571428571428571,1.0,102.0,90.0,105.0,0.8952380952380953,0.8095238095238095,1.0,94.0,85.0,105.0,0.9238095238095239,0.8095238095238095,0.9904761904761905,97.0,85.0,104.0
Kisumu,Household,big,75,1,390.0,223.8,763.0,133.0,70.25,287.5,222.5,117.0,477.5,0.5142857142857142,0.3333333333333333,0.8666666666666667,54.0,35.0,91.0,0.3904761904761905,0.2761904761904762,0.7714285714285715,41.0,29.0,81.0,0.4380952380952381,0.2857142857142857,0.7904761904761904,46.0,30.0,83.0
Ukunda,Household,big,75,1,2.138e3,1.106e3,3.34e3,735.5,334.0,1.248e3,1.322e3,632.5,2.168e3,1.0,0.8571428571428571,1.0,105.0,90.0,105.0,0.9142857142857143,0.7904761904761904,1.0,96.0,83.0,105.0,0.9714285714285714,0.8,0.9904761904761905,102.0,84.0,104.0
Kisumu,Household,big,75,50,468.0,288.8,868.0,175.5,97.0,335.2,267.5,148.5,542.0,0.5523809523809524,0.37142857142857144,0.8857142857142857,58.0,39.0,93.0,0.4380952380952381,0.2857142857142857,0.7904761904761904,46.0,30.0,83.0,0.47619047619047616,0.3238095238095238,0.8095238095238095,50.0,34.0,85.0
Ukunda,Household,big,75,50,2.404e3,1.384e3,3.608e3,853.0,452.5,1.366e3,1.466e3,802.0,2.302e3,0.9904761904761905,0.8380952380952381,1.0,104.0,88.0,105.0,0.8952380952380953,0.780952380952381,1.0,94.0,82.0,105.0,0.9523809523809523,0.8,0.9904761904761905,100.0,84.0,104.0
Kisumu,Household,big,75,100,506.0,302.5,979.0,194.0,107.5,392.2,281.0,146.5,590.0,0.5904761904761905,0.4,0.9523809523809523,62.0,42.0,100.0,0.4857142857142857,0.3047619047619048,0.8380952380952381,51.0,32.0,88.0,0.5047619047619047,0.3333333333333333,0.8761904761904762,53.0,35.0,92.0
Ukunda,Household,big,75,100,2.508e3,1.494e3,3.744e3,931.0,510.5,1.446e3,1.512e3,841.0,2.346e3,0.9523809523809523,0.8285714285714286,1.0,100.0,87.0,105.0,0.8761904761904762,0.7714285714285715,1.0,92.0,81.0,105.0,0.9047619047619048,0.7904761904761904,0.9904761904761905,95.0,83.0,104.0
Kisumu,Household,big,75,250,583.5,327.2,1.064e3,234.5,120.0,451.5,318.0,153.0,631.0,0.7047619047619048,0.45714285714285713,0.9428571428571428,74.0,48.0,99.0,0.6476190476190476,0.3523809523809524,0.8571428571428571,68.0,37.0,90.0,0.6761904761904762,0.3523809523809524,0.8666666666666667,71.0,37.0,91.0
Ukunda,Household,big,75,250,3.106e3,2.038e3,4.376e3,1.248e3,778.0,1.832e3,1.798e3,1.108e3,2.628e3,0.9428571428571428,0.8380952380952381,1.0,99.0,88.0,105.0,0.8666666666666667,0.7619047619047619,0.9904761904761905,91.0,80.0,104.0,0.8857142857142857,0.8095238095238095,0.9904761904761905,93.0,85.0,104.0
Kisumu,Household,big,100,1,303.0,188.8,500.2,94.0,48.75,175.2,192.0,102.0,341.5,0.4095238095238095,0.3047619047619048,0.6571428571428571,43.0,32.0,69.0,0.3142857142857143,0.20952380952380953,0.5238095238095238,33.0,22.0,55.0,0.37142857142857144,0.24761904761904763,0.5904761904761905,39.0,26.0,62.0
Ukunda,Household,big,100,1,512.5,191.5,1.388e3,112.5,41.0,347.0,350.5,117.5,1.019e3,0.6571428571428571,0.34285714285714286,0.9523809523809523,69.0,36.0,100.0,0.44761904761904764,0.21904761904761905,0.8285714285714286,47.0,23.0,87.0,0.6190476190476191,0.3047619047619048,0.9142857142857143,65.0,32.0,96.0
Kisumu,Household,big,100,50,406.5,253.0,686.5,145.5,82.0,258.5,233.5,132.0,436.0,0.45714285714285713,0.3333333333333333,0.7428571428571429,48.0,35.0,78.0,0.3523809523809524,0.23809523809523808,0.6571428571428571,37.0,25.0,69.0,0.41904761904761906,0.2857142857142857,0.6571428571428571,44.0,30.0,69.0
Ukunda,Household,big,100,50,1.122e3,580.0,1.958e3,313.0,154.8,584.0,759.0,346.0,1.403e3,0.780952380952381,0.5142857142857142,0.9523809523809523,82.0,54.0,100.0,0.6666666666666666,0.3619047619047619,0.8380952380952381,70.0,38.0,88.0,0.7428571428571429,0.47619047619047616,0.8761904761904762,78.0,50.0,92.0
Kisumu,Household,big,100,100,464.0,293.8,783.5,175.5,101.75,298.0,261.0,151.0,484.8,0.5142857142857142,0.3523809523809524,0.7619047619047619,54.0,37.0,80.0,0.4095238095238095,0.26666666666666666,0.6666666666666666,43.0,28.0,70.0,0.44761904761904764,0.3238095238095238,0.7238095238095238,47.0,34.0,76.0
Ukunda,Household,big,100,100,1.575e3,891.5,2.484e3,498.5,272.2,823.0,1.027e3,524.5,1.699e3,0.8,0.6285714285714286,0.9333333333333333,84.0,66.0,98.0,0.7047619047619048,0.49523809523809526,0.8285714285714286,74.0,52.0,87.0,0.7619047619047619,0.580952380952381,0.8857142857142857,80.0,61.0,93.0
Kisumu,Household,big,100,250,576.5,326.5,1.0115e3,229.5,122.75,416.2,315.0,156.0,612.0,0.6571428571428571,0.4380952380952381,0.8666666666666667,69.0,46.0,91.0,0.5333333333333333,0.3523809523809524,0.7714285714285715,56.0,37.0,81.0,0.6190476190476191,0.3619047619047619,0.819047619047619,65.0,38.0,86.0
Ukunda,Household,big,100,250,2.662e3,1.762e3,3.714e3,1.03e3,642.0,1.475e3,1.578e3,987.0,2.308e3,0.8666666666666667,0.780952380952381,0.9714285714285714,91.0,82.0,102.0,0.7714285714285715,0.6761904761904762,0.8761904761904762,81.0,71.0,92.0,0.8285714285714286,0.7428571428571429,0.9523809523809523,87.0,78.0,100.0
Kisumu,Household,small,25,1,609.5,307.5,1.215e3,233.0,114.0,516.0,320.5,142.0,704.0,0.780952380952381,0.42857142857142855,1.0,82.0,45.0,105.0,0.6761904761904762,0.3333333333333333,1.0,71.0,35.0,105.0,0.7047619047619048,0.3333333333333333,1.0,74.0,35.0,105.0
Ukunda,Household,small,25,1,3.724e3,2.432e3,5.24e3,1.606e3,995.0,2.364e3,2.052e3,1.293e3,2.978e3,1.0,0.9047619047619048,1.0,105.0,95.0,105.0,0.9333333333333333,0.8380952380952381,1.0,98.0,88.0,105.0,0.9619047619047619,0.8571428571428571,0.9904761904761905,101.0,90.0,104.0
Kisumu,Household,small,25,50,674.0,338.8,1.317e3,262.5,122.0,549.5,366.0,163.0,775.0,0.8285714285714286,0.47619047619047616,1.0,87.0,50.0,105.0,0.7238095238095238,0.3619047619047619,1.0,76.0,38.0,105.0,0.7428571428571429,0.37142857142857144,1.0,78.0,39.0,105.0
Ukunda,Household,small,25,50,3.81e3,2.608e3,5.19e3,1.632e3,1.066e3,2.334e3,2.102e3,1.372e3,2.958e3,1.0,0.8952380952380953,1.0,105.0,94.0,105.0,0.9333333333333333,0.8380952380952381,1.0,98.0,88.0,105.0,0.9619047619047619,0.8380952380952381,0.9904761904761905,101.0,88.0,104.0
Kisumu,Household,small,25,100,625.5,320.2,1.242e3,244.5,117.0,533.0,338.0,150.2,722.5,0.7904761904761904,0.44761904761904764,1.0,83.0,47.0,105.0,0.7142857142857143,0.34285714285714286,1.0,75.0,36.0,105.0,0.7142857142857143,0.3523809523809524,1.0,75.0,37.0,105.0
Ukunda,Household,small,25,100,3.796e3,2.586e3,5.212e3,1.634e3,1.062e3,2.332e3,2.088e3,1.356e3,2.966e3,0.9904761904761905,0.8952380952380953,1.0,104.0,94.0,105.0,0.9238095238095239,0.8380952380952381,1.0,97.0,88.0,105.0,0.9523809523809523,0.8380952380952381,0.9904761904761905,100.0,88.0,104.0
Kisumu,Household,small,25,250,625.0,324.2,1.274e3,246.5,118.0,540.0,329.5,151.8,738.0,0.7523809523809524,0.4380952380952381,1.0,79.0,46.0,105.0,0.6857142857142857,0.3619047619047619,1.0,72.0,38.0,105.0,0.6952380952380952,0.34285714285714286,1.0,73.0,36.0,105.0
Ukunda,Household,small,25,250,3.724e3,2.454e3,5.264e3,1.613e3,1.01e3,2.35e3,2.056e3,1.275e3,2.976e3,0.9904761904761905,0.8952380952380953,1.0,104.0,94.0,105.0,0.9333333333333333,0.8476190476190476,1.0,98.0,89.0,105.0,0.9619047619047619,0.8380952380952381,0.9904761904761905,101.0,88.0,104.0
Kisumu,Household,small,50,1,527.5,289.5,1.044e3,200.0,97.75,425.5,280.5,141.0,615.0,0.6952380952380952,0.4095238095238095,1.0,73.0,43.0,105.0,0.6,0.3238095238095238,0.9809523809523809,63.0,34.0,103.0,0.6285714285714286,0.3333333333333333,0.9809523809523809,66.0,35.0,103.0
Ukunda,Household,small,50,1,3.744e3,2.47e3,5.19e3,1.582e3,986.0,2.3e3,2.076e3,1.304e3,3.0e3,1.0,0.8952380952380953,1.0,105.0,94.0,105.0,0.9428571428571428,0.8380952380952381,1.0,99.0,88.0,105.0,0.9619047619047619,0.8380952380952381,0.9904761904761905,101.0,88.0,104.0
Kisumu,Household,small,50,50,508.0,287.8,1.042e3,195.0,108.75,418.5,277.5,140.0,614.0,0.6285714285714286,0.3904761904761905,1.0,66.0,41.0,105.0,0.49523809523809526,0.3047619047619048,0.9238095238095239,52.0,32.0,97.0,0.5333333333333333,0.3238095238095238,0.9714285714285714,56.0,34.0,102.0
Ukunda,Household,small,50,50,3.668e3,2.46e3,5.08e3,1.566e3,998.0,2.268e3,2.028e3,1.302e3,2.916e3,1.0,0.8952380952380953,1.0,105.0,94.0,105.0,0.9238095238095239,0.8380952380952381,1.0,97.0,88.0,105.0,0.9523809523809523,0.8380952380952381,0.9904761904761905,100.0,88.0,104.0
Kisumu,Household,small,50,100,582.5,318.8,1.124e3,228.0,113.0,470.5,305.5,151.8,666.0,0.7142857142857143,0.41904761904761906,1.0,75.0,44.0,105.0,0.638095238095238,0.3333333333333333,1.0,67.0,35.0,105.0,0.6666666666666666,0.3619047619047619,1.0,70.0,38.0,105.0
